event_attendance,event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Jeremy Stephens,Dooho Choi,0,0,2,49,44,0,0,0,0,2.36,Featherweight,Punch,KO/TKO,Jeremy Stephens
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Jessica-Rose Clark,Paige VanZant,4,0,3,55,54,1,0,2,0,5.0,Women's Flyweight,,U-DEC,Jessica-Rose Clark
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Kamaru Usman,Emil Meek,7,0,3,50,30,0,2,8,0,5.0,Welterweight,,U-DEC,Kamaru Usman
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Darren Elkins,Michael Johnson,2,0,2,18,45,1,0,1,0,2.22,Featherweight,Rear Naked Choke,SUB,Darren Elkins
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,James Krause,Alex White,4,0,3,35,56,2,0,3,1,5.0,Lightweight,,U-DEC,James Krause
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Polo Reyes,Matt Frevola,0,0,1,18,9,0,0,0,0,1.0,Lightweight,Punch,KO/TKO,Polo Reyes
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Irene Aldana,Talita Bernardo,6,1,3,70,46,0,0,1,1,5.0,Women's Bantamweight,,U-DEC,Irene Aldana
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Kyung Ho Kang,Guido Cannetti,1,0,1,3,19,1,0,1,1,4.53,Bantamweight,Triangle Choke,SUB,Kyung Ho Kang
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Jessica Eye,Kalindra Faria,3,1,3,25,38,6,1,3,1,5.0,Women's Flyweight,,S-DEC,Jessica Eye
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,JJ Aldrich,Danielle Taylor,1,0,3,54,38,0,0,1,0,5.0,Women's Strawweight,,U-DEC,JJ Aldrich
10052,January 14 2018,UFC Fight Night: Stephens vs. Choi,Mads Burnell,Mike Santiago,11,3,3,20,51,1,2,3,3,5.0,Featherweight,,U-DEC,Mads Burnell
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Stipe Miocic,Francis Ngannou,4,0,5,70,21,0,1,6,0,5.0,Heavyweight,,U-DEC,Stipe Miocic
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Daniel Cormier,Volkan Oezdemir,3,0,2,32,38,1,0,2,0,2.0,Light Heavyweight,Punches,KO/TKO,Daniel Cormier
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Calvin Kattar,Shane Burgos,0,0,3,85,89,0,0,0,0,0.32,Featherweight,Punch,KO/TKO,Calvin Kattar
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Gian Villante,Francimar Barroso,0,0,3,74,74,0,0,0,0,5.0,Light Heavyweight,,S-DEC,Gian Villante
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Rob Font,Thomas Almeida,0,0,2,41,24,0,0,1,0,2.24,Bantamweight,Kick,KO/TKO,Rob Font
16015,January 20 2018,UFC 220: Miocic vs. Ngannou,Kyle Bochniak,Brandon Davis,0,0,3,33,38,0,0,3,1,5.0,Featherweight,,U-DEC,Kyle Bochniak
