event_attendance,event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Robert Whittaker,Yoel Romero,0,0,5,128,111,0,0,0,3,5.0,Middleweight,,S-DEC,Robert Whittaker
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Colby Covington,Rafael Dos Anjos,2,1,5,99,105,0,0,7,3,5.0,Welterweight,,U-DEC,Colby Covington
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Holly Holm,Megan Anderson,9,0,3,47,26,1,0,4,0,5.0,Women's Featherweight,,U-DEC,Holly Holm
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Tai Tuivasa,Andrei Arlovski,1,0,3,54,51,0,0,0,0,5.0,Heavyweight,,U-DEC,Tai Tuivasa
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Mike Jackson,CM Punk,1,1,3,64,19,0,0,1,1,5.0,Welterweight,,U-DEC,Mike Jackson
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Curtis Blaydes,Alistair Overeem,6,0,3,37,7,0,2,4,0,2.56,Heavyweight,Elbows,KO/TKO,Curtis Blaydes
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Claudia Gadelha,Carla Esparza,6,1,3,26,43,1,0,4,2,5.0,Women's Strawweight,,S-DEC,Claudia Gadelha
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Mirsad Bektic,Ricardo Lamas,1,0,3,31,34,0,2,2,0,5.0,Featherweight,,S-DEC,Mirsad Bektic
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Chris de la Rocha,Rashad Coulter,5,0,2,40,30,2,0,3,0,3.53,Heavyweight,Punches,KO/TKO,Chris de la Rocha
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Anthony Smith,Rashad Evans,0,0,1,6,1,0,0,0,0,0.53,Light Heavyweight,Knee,KO/TKO,Anthony Smith
18117,June 09 2018,UFC 225: Whittaker vs. Romero 2,Sergio Pettis,Joseph Benavidez,0,0,3,74,59,0,0,0,2,5.0,Flyweight,,S-DEC,Sergio Pettis
