date_of_birth,fighter_name,fighter_record,height,reach,sapm,slpm,stance,strike_acc,strike_def,sub_avg,td_acc,td_avg,td_def,weight
Jul 17 1990,Michael Byrnes,Record: 5-2-0,"5' 11""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Feb 07 1989,Gleidson Cutis,Record: 7-3-0,"5' 9""",,8.28,2.99,Orthodox,52,59.0,0.0,0,0.0,0,155
Jun 25 1981,Luciano Azevedo,Record: 16-9-1,"6' 3""",,1.97,0.76,Orthodox,45,27.0,0.0,11,2.28,0,161
Nov 10 1980,Katsuaki Furuki,Record: 1-1-0,"6' 0""",,2.67,0.27,,10,39.0,3.0,0,0.0,0,168
Aug 11 1990,Rolando Dy,Record: 9-7-1 (1 NC),"5' 8""",69,4.47,3.04,Orthodox,37,52.0,0.0,20,0.3,68,145
Jul 27 1986,Jessica Eye,Record: 14-6-0 (1 NC),"5' 6""",66,3.43,3.63,Orthodox,36,60.0,0.7,50,0.53,60,125
Sep 17 1974,Mike Guymon,Record: 12-5-1,"6' 0""",74,0.79,2.75,Orthodox,65,66.0,1.2,37,1.87,54,170
Aug 31 1972,Solomon Hutcherson,Record: 11-7-0 (1 NC),"5' 11""",,2.59,2.59,Southpaw,39,64.0,0.0,100,3.53,0,185
Jun 22 1982,Hiroshi Izumi,Record: 4-2-0,--,,2.65,1.95,Orthodox,37,66.0,0.5,70,3.35,100,205
Jul 09 1985,Cris Cyborg,Record: 20-2-0 (1 NC),"5' 8""",68,1.92,6.99,Orthodox,52,69.0,0.3,55,0.84,91,145
Mar 31 1980,Mike Kyle,Record: 19-9-1 (2 NC),"6' 4""",77,2.76,4.5,Orthodox,51,54.0,0.9,62,1.55,50,205
Aug 18 1974,Chris Lytle,Record: 31-18-5,"5' 11""",68,3.03,3.76,Orthodox,45,58.0,2.4,55,0.7,55,170
--,Ho Bae Myeon,Record: 12-5-1,"5' 11""",,3.16,3.16,Orthodox,16,83.0,0.0,0,0.0,0,168
Jun 13 1992,Kennedy Nzechukwu,Record: 6-1-0,"6' 5""",83,3.53,5.17,Southpaw,39,56.0,0.0,0,0.0,86,205
Apr 05 1992,Said Nurmagomedov,Record: 13-1-0,"5' 8""",70,1.95,4.69,Orthodox,59,64.0,0.0,9,0.86,100,135
Mar 27 1986,Alptekin Ozkilic,Record: 9-4-0,"5' 5""",65,5.72,3.81,Orthodox,32,59.0,0.0,58,4.21,75,125
Apr 11 1974,Shungo Oyama,Record: 10-13-0,"5' 11""",,1.96,0.64,Southpaw,25,57.0,0.5,57,1.07,62,185
Sep 18 1975,Mike Pyle,Record: 27-14-1,"6' 0""",74,2.84,2.74,Orthodox,45,60.0,1.5,35,1.8,70,170
Dec 06 1974,Jens Pulver,Record: 25-15-1,"5' 7""",70,3.13,2.12,Southpaw,37,56.0,0.3,33,0.22,63,145
Mar 16 1983,Josh Pulsifer,Record: 16-7-0,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
--,Hugh Pulley,Record: 6-3-0,"6' 0""",,3.27,4.47,,63,57.0,0.0,66,4.0,69,155
Apr 23 1989,Juan Puig,Record: 11-4-0,"5' 9""",72,7.17,4.91,Orthodox,23,51.0,0.0,0,0.0,0,145
--,Bubba Pugh,Record: 3-3-0,"5' 10""",,2.6,2.87,,67,23.0,0.0,57,4.0,80,185
Apr 21 1996,Claudio Puelles,Record: 9-2-0,"5' 11""",72,6.53,2.33,Southpaw,38,49.0,0.8,23,2.33,0,155
Jun 13 1994,Lucie Pudilova,Record: 8-4-0,"5' 8""",67,4.21,4.87,Orthodox,38,53.0,0.8,0,0.0,64,125
Oct 09 1981,Daniel Puder,Record: 8-0-0,"6' 3""",,1.17,2.77,Orthodox,68,38.0,9.0,50,1.21,81,235
Jan 17 1981,Cole Province,Record: 6-2-0 (1 NC),"5' 9""",68,2.72,1.47,Orthodox,44,43.0,1.0,50,2.4,83,145
Aug 10 1985,Joe Proctor,Record: 11-5-0,"5' 10""",72,3.93,3.39,Orthodox,36,59.0,1.8,0,0.0,70,155
