event_attendence,event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,f1_record,f1_dob,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_record,f2_dob,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,winner
10052,January 14 2018,Jeremy Stephens,Dooho Choi,0,0,2,49,44,0,0,0,0,2.36,Featherweight,Punch,KO/TKO,Record: 28-16-0,May 25 1986,5' 8,71,2.84,3.08,Orthodox,40,59,0.4,36,1.11,64,145,Record: 14-3-0,Apr 10 1991,5' 10,70,6.26,5.64,Orthodox,53,54,0,20,0.55,50,145,Jeremy Stephens
10052,January 14 2018,Jessica-Rose Clark,Paige VanZant,4,0,3,55,54,1,0,2,0,5,Women's Flyweight,,U-DEC,Record: 9-5-0 (1 NC),Nov 28 1987,5' 5,64,4.13,4.6,Orthodox,50,61,0.7,66,1.33,57,125,Record: 8-4-0,Mar 26 1994,5' 4,65,2.63,3.4,Orthodox,52,43,1,33,1.31,35,115,Jessica-Rose Clark
10052,January 14 2018,Kamaru Usman,Emil Meek,7,0,3,50,30,0,2,8,0,5,Welterweight,,U-DEC,Record: 15-1-0,May 11 1987,6' 0,76,1.6,4.2,Switch,54,57,0.2,50,3.96,100,170,Record: 9-4-1 (1 NC),Aug 20 1988,5' 11,74,2.64,2.24,Switch,38,32,1.3,50,0.33,48,170,Kamaru Usman
10052,January 14 2018,Darren Elkins,Michael Johnson,2,0,2,18,45,1,0,1,0,2.22,Featherweight,Rear Naked Choke,SUB,Record: 25-7-0,May 16 1984,5' 10,71,2.83,3.36,Orthodox,37,53,1.3,35,2.68,57,145,Record: 20-14-0,Jun 04 1986,5' 10,73,3.82,4.15,Southpaw,37,58,0.1,45,0.56,78,145,Darren Elkins
10052,January 14 2018,James Krause,Alex White,4,0,3,35,56,2,0,3,1,5,Lightweight,,U-DEC,Record: 25-8-0,Jun 04 1986,6' 2,73,4.15,4.57,Orthodox,46,61,0.7,18,1.18,46,170,Record: 13-5-0,Oct 22 1988,6' 0,71,2.87,3.77,Southpaw,42,62,0.6,50,1.05,72,155,James Krause
10052,January 14 2018,Polo Reyes,Matt Frevola,0,0,1,18,9,0,0,0,0,1,Lightweight,Punch,KO/TKO,Record: 8-6-0,Nov 07 1984,5' 11,71,5.21,6.13,,36,61,0,0,0,38,155,Record: 7-1-1,Jun 11 1990,5' 9,71,3.49,3.19,Orthodox,37,61,1.9,34,3.04,83,155,Polo Reyes
10052,January 14 2018,Irene Aldana,Talita Bernardo,6,1,3,70,46,0,0,1,1,5,Women's Bantamweight,,U-DEC,Record: 9-4-0,Mar 26 1988,5' 9,68,7.08,6.35,Orthodox,43,61,0,50,0.5,95,135,Record: 6-3-0,Mar 04 1987,5' 4,68,3.65,2.85,Orthodox,46,58,0.7,25,2,50,135,Irene Aldana
10052,January 14 2018,Kyung Ho Kang,Guido Cannetti,1,0,1,3,19,1,0,1,1,4.53,Bantamweight,Triangle Choke,SUB,Record: 15-8-0 (1 NC),Sep 09 1987,5' 9,73,2.08,2.59,Orthodox,42,59,1.4,68,2.36,75,135,Record: 8-5-0,Dec 19 1979,5' 6,68,1.95,2.8,Southpaw,52,51,0.3,50,2.8,75,135,Kyung Ho Kang
10052,January 14 2018,Jessica Eye,Kalindra Faria,3,1,3,25,38,6,1,3,1,5,Women's Flyweight,,S-DEC,Record: 14-6-0 (1 NC),Jul 27 1986,5' 6,66,3.43,3.63,Orthodox,36,60,0.7,50,0.53,60,125,Record: 18-8-1,Jul 23 1986,5' 7,,1.44,2.23,Switch,56,45,0.7,66,1.31,20,125,Jessica Eye
10052,January 14 2018,JJ Aldrich,Danielle Taylor,1,0,3,54,38,0,0,1,0,5,Women's Strawweight,,U-DEC,Record: 7-3-0,Sep 29 1992,5' 5,67,4.22,3.65,Southpaw,38,61,0,16,0.22,58,125,Record: 9-4-0,Oct 25 1989,5' 0,60,3.31,2.75,Orthodox,29,71,0.2,20,0.2,70,115,JJ Aldrich
10052,January 14 2018,Mads Burnell,Mike Santiago,11,3,3,20,51,1,2,3,3,5,Featherweight,,U-DEC,Record: 9-3-0,Mar 06 1994,5' 8,69,2.71,1.28,Orthodox,41,51,0.4,47,3.45,22,145,Record: 21-12-0,Jul 28 1989,5' 10,69,3.58,3.44,Orthodox,49,36,1.1,50,2.66,53,145,Mads Burnell
16015,January 20 2018,Stipe Miocic,Francis Ngannou,4,0,5,70,21,0,1,6,0,5,Heavyweight,,U-DEC,Record: 18-3-0,Aug 19 1982,6' 4,80,2.96,4.76,Orthodox,51,62,0,38,2.38,75,240,Record: 13-3-0,Sep 05 1986,6' 4,83,1.94,2.05,Orthodox,37,48,0.5,0,0,71,250,Stipe Miocic
16015,January 20 2018,Daniel Cormier,Volkan Oezdemir,3,0,2,32,38,1,0,2,0,2,Light Heavyweight,Punches,KO/TKO,Record: 22-1-0 (1 NC),Mar 20 1979,5' 11,72,2.46,3.84,Orthodox,49,58,0.5,45,2.04,78,235,Record: 15-4-0,Sep 19 1989,6' 2,75,4.3,4.73,Orthodox,46,55,0,22,0.57,75,205,Daniel Cormier
16015,January 20 2018,Calvin Kattar,Shane Burgos,0,0,3,85,89,0,0,0,0,0.32,Featherweight,Punch,KO/TKO,Record: 19-3-0,Mar 26 1988,5' 11,72,6.66,5.03,Orthodox,41,55,0,33,0.67,75,145,Record: 11-1-0,Mar 19 1991,5' 11,75,5.47,6.54,Orthodox,46,66,0.3,100,0.55,94,145,Calvin Kattar
16015,January 20 2018,Gian Villante,Francimar Barroso,0,0,3,74,74,0,0,0,0,5,Light Heavyweight,,S-DEC,Record: 17-11-0,Aug 18 1985,6' 3,76,5.34,4.26,Orthodox,42,55,0,23,0.53,83,205,Record: 19-7-0 (1 NC),Feb 28 1980,6' 1,75,3.07,2.77,Orthodox,52,59,0,24,2.22,83,205,Gian Villante
16015,January 20 2018,Rob Font,Thomas Almeida,0,0,2,41,24,0,0,1,0,2.24,Bantamweight,Kick,KO/TKO,Record: 16-4-0,Jun 25 1987,5' 8,71,3.88,4.94,Orthodox,40,63,0.9,33,1.29,30,135,Record: 22-3-0,Jul 31 1991,5' 7,70,4.65,5.66,Southpaw,45,64,0,0,0,75,135,Rob Font
16015,January 20 2018,Kyle Bochniak,Brandon Davis,0,0,3,33,38,0,0,3,1,5,Featherweight,,U-DEC,Record: 8-4-0,Feb 05 1987,5' 7,70,4.73,2.6,Orthodox,32,58,0,18,1.17,62,145,Record: 10-5-0,May 08 1990,5' 10,72,4.62,5.03,Orthodox,34,63,0.2,33,0.2,57,135,Kyle Bochniak
16015,January 20 2018,Abdul Razak Alhassan,Sabah Homasi,0,0,1,13,8,0,0,0,1,3.47,Welterweight,Punch,KO/TKO,Record: 10-1-0,Aug 11 1985,5' 10,73,4.2,4.59,Orthodox,46,59,0,33,0.57,53,170,Record: 11-8-0,Oct 19 1988,6' 0,72,6.91,4.98,Orthodox,48,47,0,50,2.8,66,170,Abdul Razak Alhassan
16015,January 20 2018,Dustin Ortiz,Alexandre Pantoja,1,4,3,36,19,0,2,7,1,5,Flyweight,,U-DEC,Record: 19-8-0,Dec 25 1988,5' 5,65,2.17,2.94,Orthodox,44,56,0.1,36,3.01,52,125,Record: 21-3-0,Apr 16 1990,5' 5,67,3.23,4.48,Orthodox,48,59,1.7,50,0.72,62,125,Dustin Ortiz
16015,January 20 2018,Julio Arce,Dan Ige,0,0,3,72,35,0,0,0,1,5,Featherweight,,U-DEC,Record: 15-3-0,Oct 27 1989,5' 7,70,2.45,4.41,Southpaw,35,67,0.9,16,0.3,93,145,Record: 11-2-0,Aug 06 1991,5' 7,71,3.36,3.96,Orthodox,46,59,1.3,35,3.3,60,145,Julio Arce
16015,January 20 2018,Enrique Barzola,Matt Bessette,0,0,3,55,43,0,0,5,0,5,Featherweight,,U-DEC,Record: 16-4-1,Apr 28 1989,5' 7,70,2.49,3.51,,43,71,0.3,47,5.29,75,145,Record: 22-9-0 (1 NC),Dec 28 1984,5' 10,70,4.45,4.36,Orthodox,41,58,0.3,28,0.64,61,145,Enrique Barzola
16015,January 20 2018,Islam Makhachev,Gleison Tibau,0,0,1,3,2,0,0,0,0,0.57,Lightweight,Punch,KO/TKO,Record: 16-1-0,Oct 27 1991,5' 10,70,0.82,2.24,Orthodox,60,64,1.3,86,4.33,100,155,Record: 40-14-0,Oct 07 1983,5' 10,71,2.51,1.95,Southpaw,31,63,0.8,53,4.08,92,155,Islam Makhachev
10249,January 27 2018,Jacare Souza,Derek Brunson,0,0,1,9,8,0,0,0,0,3.5,Middleweight,Kick,KO/TKO,Record: 26-6-0 (1 NC),Dec 07 1979,6' 1,72,2.46,2.61,Orthodox,46,63,1.7,41,3.01,53,185,Record: 18-7-0,Jan 04 1984,6' 1,77,2.55,3.03,Southpaw,44,50,0.6,28,2.74,100,185,Jacare Souza
10249,January 27 2018,Andre Fili,Dennis Bermudez,1,1,3,80,103,0,0,4,1,5,Featherweight,,S-DEC,Record: 19-6-0,Jun 25 1990,5' 11,74,3.87,4.03,Orthodox,37,53,0.2,46,2.5,69,145,Record: 18-9-0,Dec 13 1986,5' 6,66,3.07,4.42,Orthodox,46,59,1.1,40,3.89,82,155,Andre Fili
10249,January 27 2018,Gregor Gillespie,Jordan Rinaldi,7,0,1,34,7,0,0,1,0,4.46,Lightweight,Punches,KO/TKO,Record: 13-0-0,Nov 13 1986,5' 7,71,1.81,3.6,Orthodox,53,58,1,48,7.44,0,155,Record: 14-7-0,Sep 25 1987,5' 10,72,2.32,1.56,Orthodox,35,59,1.2,35,1.45,20,145,Gregor Gillespie
10249,January 27 2018,Drew Dober,Frank Camacho,0,3,3,145,106,0,0,0,3,5,Welterweight,,U-DEC,Record: 20-9-0 (1 NC),Oct 19 1988,5' 8,70,4.14,4.33,Southpaw,39,53,0.1,17,0.97,60,155,Record: 21-7-0,May 18 1989,5' 10,73,7.82,6.23,Orthodox,45,52,0,45,1.46,80,170,Drew Dober
10249,January 27 2018,Bobby Green,Erik Koch,2,2,3,110,56,0,0,1,1,5,Lightweight,,U-DEC,Record: 24-9-1,Sep 09 1986,5' 10,71,3.87,5.11,Orthodox,49,62,0.3,25,1.03,75,155,Record: 15-6-0,Oct 04 1988,5' 10,71,2.98,2.32,Southpaw,40,45,1.1,50,0.64,79,155,Bobby Green
10249,January 27 2018,Mirsad Bektic,Godofredo Pepey,0,0,1,12,5,0,0,0,0,2.47,Featherweight,Punch,KO/TKO,Record: 13-1-0,Feb 16 1991,5' 8,70,1.42,2.92,Orthodox,46,62,0.4,53,3.59,100,145,Record: 14-6-0,Jul 02 1987,5' 7,73,3.23,2.32,Orthodox,38,47,1.5,7,0.37,35,145,Mirsad Bektic
10249,January 27 2018,Katlyn Chookagian,Mara Romero Borella,0,0,3,68,79,1,0,0,1,5,Women's Flyweight,,U-DEC,Record: 11-2-0,Dec 28 1988,5' 9,68,4.21,4.08,Orthodox,31,63,0.2,0,0,63,125,Record: 12-5-0 (2 NC),Jun 03 1986,5' 6,69,3.16,3.37,Orthodox,37,70,0.5,44,1.82,50,125,Katlyn Chookagian
