event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round_,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner,f1_dob,f1_record,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_dob,f2_record,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dustin Poirier,Justin Gaethje,0,0,4,174,115,0,0,0,0,0.33,Lightweight,Punch,KO/TKO,Dustin Poirier,Jan 19 1989,Record: 25-6-0 (1 NC),5' 9",72,3.97,5.51,Southpaw,49,56,1.2,37,1.55,61,155,Nov 14 1988,Record: 21-2-0,5' 11",70,9.67,8.57,Orthodox,55,54,0,0,0,80,155
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alex Oliveira,Carlos Condit,4,2,2,9,12,1,1,3,1,3.17,Welterweight,Guillotine Choke,SUB,Alex Oliveira,Feb 21 1988,Record: 19-8-1 (2 NC),5' 11",76,2.25,2.9,Orthodox,50,46,0.7,39,2.86,61,170,Apr 26 1984,Record: 30-13-0,6' 2",75,2.34,3.56,Orthodox,39,57,1.2,55,0.58,36,170
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Israel Adesanya,Marvin Vettori,0,1,3,57,46,0,0,0,2,5,Middleweight,,S-DEC,Israel Adesanya,Jul 22 1989,Record: 18-0-0,6' 4",80,2.6,4.46,Switch,50,66,0.4,0,0,85,185,Sep 20 1993,Record: 14-4-1,6' 0",74,2.85,4.05,Southpaw,41,66,0.6,45,1.43,80,185
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Michelle Waterson,Cortney Casey,0,1,3,61,36,0,3,3,0,5,Women's Strawweight,,S-DEC,Michelle Waterson,Jan 06 1986,Record: 17-7-0,5' 3",62,3.88,3.35,Orthodox,53,48,1.2,50,1.88,57,115,May 05 1987,Record: 8-7-0,5' 7",67,4.73,4.8,Orthodox,38,53,0.5,30,0.35,38,115
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Antonio Carlos Junior,Tim Boetsch,1,0,1,31,7,1,0,1,0,4.28,Middleweight,Rear Naked Choke,SUB,Antonio Carlos Junior,Mar 16 1990,Record: 11-4-0 (1 NC),6' 2",79,1.98,1.91,Orthodox,44,53,0.9,44,3.7,53,185,Jan 28 1981,Record: 21-13-0,6' 0",74,2.9,2.93,Orthodox,50,57,0.8,34,1.45,59,185
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Muslim Salikhov,Ricky Rainey,0,0,2,25,19,0,0,0,0,4.12,Welterweight,Punch,KO/TKO,Muslim Salikhov,Jun 09 1984,Record: 16-2-0,5' 11",70,1.97,2.92,Orthodox,46,68,0,42,1.22,72,170,Jun 29 1983,Record: 13-6-0,6' 1",77,2.62,2.55,Switch,48,46,0,18,0.95,55,170
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,John Moraga,Wilson Reis,1,8,3,46,12,1,0,0,8,5,Flyweight,,U-DEC,John Moraga,Mar 20 1984,Record: 19-7-0,5' 6",66,2.55,2.57,Orthodox,43,56,1.1,23,0.62,44,125,Jan 06 1985,Record: 23-10-0,5' 4",65,3.04,1.83,Southpaw,29,55,0.6,42,5.15,47,125
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Brad Tavares,Krzysztof Jotko,0,0,3,46,24,0,0,0,0,2.16,Middleweight,Punch,KO/TKO,Brad Tavares,Dec 21 1987,Record: 17-7-0,6' 1",74,2.76,3,Orthodox,40,55,0,27,1.03,77,185,Aug 19 1989,Record: 21-4-0,6' 1",77,1.81,2.84,Southpaw,44,58,0.1,40,1.39,85,185
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Gilbert Burns,Dan Moret,2,0,2,31,20,0,0,2,0,0.59,Lightweight,Punch,KO/TKO,Gilbert Burns,Jul 20 1986,Record: 17-3-0,5' 10",71,3.05,3.09,Orthodox,43,57,0.7,38,2.43,50,155,Nov 21 1986,Record: 13-6-0,6' 0",73,3.56,2.67,Southpaw,43,43,0.4,27,1.25,45,155
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Lauren Mueller,Shana Dobson,1,0,3,58,68,0,0,2,1,5,Women's Flyweight,,U-DEC,Lauren Mueller,Nov 15 1991,Record: 5-3-0,5' 5",67,3.77,4.08,Orthodox,41,58,0,50,0.7,71,125,Mar 30 1989,Record: 3-3-0,5' 6",69,5.31,3.56,,33,53,0,25,0.4,0,125
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Yushin Okami,Dhiego Lima,6,0,3,15,11,0,0,6,0,5,Welterweight,,U-DEC,Yushin Okami,Jul 21 1981,Record: 35-12-0,6' 2",75,2.25,2.06,Southpaw,38,60,0.5,39,1.98,84,170,Jan 31 1989,Record: 17-7-0,6' 2",75,2.96,2.84,Orthodox,40,62,0.8,44,1.66,66,170
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Adam Wieczorek,Arjan Bhullar,0,1,2,13,9,1,0,0,2,1.59,Heavyweight,Omoplata,SUB,Adam Wieczorek,Feb 05 1992,Record: 10-2-0,6' 5",81,1.87,1.68,Orthodox,38,48,0.4,33,0.41,58,250,May 13 1986,Record: 9-1-0,6' 1",75,3.25,2.33,Orthodox,56,59,0,75,1.73,100,245
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alejandro Perez,Matthew Lopez,0,2,2,44,22,0,2,0,3,3.42,Bantamweight,Punches,KO/TKO,Alejandro Perez,Sep 02 1989,Record: 22-8-1,5' 6",67,2.94,3.52,Orthodox,35,64,0.1,20,0.52,73,135,Jan 21 1987,Record: 10-4-0,5' 7",69,3.73,3.13,Southpaw,50,55,1.3,60,3.32,71,135
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Luke Sanders,Patrick Williams,0,0,3,59,61,0,0,0,1,5,Bantamweight,,U-DEC,Luke Sanders,Dec 12 1985,Record: 13-3-0,5' 6",67,4.05,6,Southpaw,51,54,0.4,25,0.37,70,135,Sep 07 1981,Record: 8-6-0,5' 8",73,4.12,4.12,Orthodox,51,52,0.5,41,2.71,100,135
April 21 2018,UFC Fight Night: Barboza vs. Lee,Kevin Lee,Edson Barboza,11,0,5,142,51,0,0,4,0,2.18,Lightweight,,KO/TKO,Kevin Lee,Sep 04 1992,Record: 18-5-0,5' 9",77,3.18,3.9,Orthodox,42,52,0.9,42,3.23,74,170,Jan 21 1986,Record: 20-8-0,5' 11",75,4.16,4.01,Orthodox,43,60,0.1,44,0.49,80,155
April 21 2018,UFC Fight Night: Barboza vs. Lee,Frankie Edgar,Cub Swanson,0,0,3,58,48,0,0,0,0,5,Featherweight,,U-DEC,Frankie Edgar,Oct 16 1981,Record: 22-7-1,5' 6",68,2.39,3.6,Orthodox,39,69,0.3,31,2.36,65,145,Nov 02 1983,Record: 26-11-0,5' 8",70,3.65,4.59,Orthodox,49,61,0.5,50,1.06,60,145
April 21 2018,UFC Fight Night: Barboza vs. Lee,Justin Willis,Chase Sherman,1,0,3,76,69,0,0,1,0,5,Heavyweight,,U-DEC,Justin Willis,Jul 19 1987,Record: 8-2-0,6' 1",78,2.57,3.37,Southpaw,59,57,0,66,0.96,36,264,Nov 16 1989,Record: 11-6-0,6' 4",78,5.76,5.81,Orthodox,43,51,0,0,0,77,250
April 21 2018,UFC Fight Night: Barboza vs. Lee,David Branch,Thiago Santos,1,0,1,5,14,0,0,0,0,2.3,Middleweight,Punch,KO/TKO,David Branch,Sep 26 1981,Record: 22-6-0,6' 1",78,1.91,1.66,Orthodox,39,56,0,32,2.55,43,185,Jan 07 1984,Record: 21-7-0,6' 2",76,2.19,4.44,Orthodox,47,57,0.1,40,0.83,68,205
April 21 2018,UFC Fight Night: Barboza vs. Lee,Aljamain Sterling,Brett Johns,2,1,3,89,27,0,0,3,1,5,Bantamweight,,U-DEC,Aljamain Sterling,Jul 31 1989,Record: 18-3-0,5' 7",71,1.95,4.85,Orthodox,50,66,0.8,29,1.91,51,135,Feb 21 1992,Record: 15-2-0,5' 7",71,4.74,3.41,Orthodox,45,55,0.5,48,3.72,78,135
April 21 2018,UFC Fight Night: Barboza vs. Lee,Dan Hooker,Jim Miller,0,0,1,24,10,0,0,0,1,3,Lightweight,Knee,KO/TKO,Dan Hooker,Feb 13 1990,Record: 20-8-0,6' 0",75,4.72,4.73,Switch,44,55,0.4,33,0.4,78,155,Aug 30 1983,Record: 31-13-0 (1 NC),5' 8",71,2.89,2.78,Southpaw,40,59,2,42,1.77,47,155
April 21 2018,UFC Fight Night: Barboza vs. Lee,Ryan LaFlare,Alex Garcia,1,1,3,24,11,0,0,1,5,5,Welterweight,,U-DEC,Ryan LaFlare,Oct 01 1983,Record: 14-3-0,6' 1",74,1.86,2.89,Southpaw,40,63,0.2,44,2.13,58,170,Jul 14 1987,Record: 15-6-0,5' 9",72,3.03,1.81,Orthodox,31,59,0.1,52,3.72,66,170
April 21 2018,UFC Fight Night: Barboza vs. Lee,Ricky Simon,Merab Dvalishvili,2,0,3,34,61,1,0,2,6,5,Bantamweight,,KO/TKO,Ricky Simon,Aug 31 1992,Record: 15-3-0,5' 6",69,3.79,2.96,Orthodox,40,65,0.2,49,6.53,71,135,Jan 10 1991,Record: 9-4-0,5' 6",68,2.2,3.75,Orthodox,37,55,0,43,6.75,80,135
April 21 2018,UFC Fight Night: Barboza vs. Lee,Siyar Bahadurzada,Luan Chagas,0,1,2,33,11,0,0,1,0,2.4,Welterweight,Kick,KO/TKO,Siyar Bahadurzada,Apr 17 1984,Record: 24-8-1,5' 11",73,3.23,2.91,Orthodox,40,49,0.3,61,1.32,62,170,Jun 17 1993,Record: 15-3-1,6' 0",75,3.19,4.16,Orthodox,47,62,0.3,12,0.32,85,170
April 21 2018,UFC Fight Night: Barboza vs. Lee,Corey Anderson,Patrick Cummins,6,0,3,64,31,0,0,12,0,5,Light Heavyweight,,U-DEC,Corey Anderson,Sep 22 1989,Record: 14-4-0,6' 3",79,2.18,4.45,Orthodox,46,59,0,50,4.98,83,205,Nov 16 1980,Record: 10-7-0,6' 2",76,3.35,4.26,Orthodox,50,55,0.1,41,4.49,28,205
